Numero de soluciones: 333

Los valores de cada columna corresponden a R1, R2, R3, C4, C5, G, err(G), wp, err(wp), Qp, Err(Qp),SR1, SR2, SR3 y ST

   R1     R2    R3     C4     C5     G   err(G)    wp   err(wp)  Qp   Err(Qp)  SR1     SR2    SR3    ST
 1370   4120 11000 1.2e-07 4.7e-09 3.007 0.2433 6254.83 0.4513 0.7057 0.1800 0.6863 0.2718 0.4145 1.3726
 6040  18200 51100 2.7e-08 1.0e-09 3.013 0.4415 6310.62 0.4366 0.7097 0.3841 0.6896 0.2711 0.4185 1.3792
 1470   4420 13300 1.1e-07 3.9e-09 3.007 0.2268 6297.01 0.2200 0.7056 0.2008 0.6930 0.2695 0.4234 1.3859
 1620   4870 15800 1.0e-07 3.3e-09 3.006 0.2058 6275.52 0.1219 0.7084 0.1934 0.6968 0.2682 0.4286 1.3936
 4120  12400 40199 3.9e-08 1.3e-09 3.010 0.3236 6290.31 0.1134 0.7045 0.3586 0.6970 0.2684 0.4286 1.3940
 1780   5360 17400 9.1e-08 3.0e-09 3.011 0.3745 6267.03 0.2571 0.7077 0.1006 0.6972 0.2685 0.4287 1.3943
 1000   3010 11299 1.6e-07 4.7e-09 3.010 0.3333 6252.71 0.4850 0.7042 0.3998 0.7039 0.2662 0.4377 1.4077
 1580   4750 19600 1.0e-07 2.7e-09 3.006 0.2110 6307.30 0.3837 0.7052 0.2613 0.7076 0.2646 0.4430 1.4152
 1740   5230 22100 9.1e-08 2.4e-09 3.006 0.1916 6294.00 0.1721 0.7061 0.1291 0.7085 0.2643 0.4442 1.4170
 2320   6980 29400 6.8e-08 1.8e-09 3.009 0.2874 6309.69 0.4218 0.7053 0.2371 0.7086 0.2645 0.4441 1.4171
 2550   7680 33200 6.2e-08 1.6e-09 3.012 0.3922 6287.74 0.0725 0.7056 0.1965 0.7098 0.2643 0.4455 1.4196
 1740   5230 24300 9.1e-08 2.2e-09 3.006 0.1916 6269.23 0.2222 0.7069 0.0173 0.7121 0.2631 0.4490 1.4242
 1580   4750 22100 1.0e-07 2.4e-09 3.006 0.2110 6300.16 0.2701 0.7089 0.2729 0.7122 0.2631 0.4491 1.4244
 1050   3160 14700 1.5e-07 3.6e-09 3.010 0.3175 6313.95 0.4896 0.7084 0.2041 0.7124 0.2633 0.4491 1.4248
 2550   7680 35700 6.2e-08 1.5e-09 3.012 0.3922 6262.44 0.3301 0.7055 0.2171 0.7125 0.2634 0.4491 1.4250
 2320   6980 33200 6.8e-08 1.6e-09 3.009 0.2874 6297.80 0.2326 0.7085 0.2163 0.7131 0.2630 0.4502 1.4263
 3090   9310 44200 5.1e-08 1.2e-09 3.013 0.4315 6301.42 0.2902 0.7084 0.1978 0.7134 0.2632 0.4501 1.4267
 3650  11000 53600 4.3e-08 1.0e-09 3.014 0.4566 6280.40 0.0444 0.7041 0.4074 0.7143 0.2630 0.4514 1.4287
 1740   5230 26700 9.1e-08 2.0e-09 3.006 0.1916 6272.75 0.1661 0.7105 0.4995 0.7154 0.2620 0.4534 1.4308
 1580   4750 24300 1.0e-07 2.2e-09 3.006 0.2110 6275.36 0.1245 0.7094 0.3407 0.7155 0.2620 0.4535 1.4310
 2320   6980 35700 6.8e-08 1.5e-09 3.009 0.2874 6272.46 0.1707 0.7082 0.1627 0.7156 0.2621 0.4535 1.4313
