Numero de soluciones: 333

Los valores de cada columna corresponden a R1, R2, R3, C4, C5, G, err(G), wp, err(wp), Qp, Err(Qp),SR1, SR2, SR3 y ST

   R1     R2    R3     C4     C5     G   err(G)    wp   err(wp)  Qp   Err(Qp)  SR1     SR2    SR3    ST
24900  75000 28000 1.0e-08 1.2e-09 3.012 0.4016 6299.41 0.2582 0.7061 0.1208 0.4502 0.3505 0.0997 0.9004
 2490   7500  2800 1.0e-07 1.2e-08 3.012 0.4016 6299.41 0.2582 0.7061 0.1208 0.4502 0.3505 0.0997 0.9004
49900 150000  9310 1.5e-08 1.2e-09 3.006 0.2004 6307.30 0.3837 0.7054 0.2236 0.1494 0.4503 0.3009 0.9006
 6980  21000  7870 3.6e-08 4.3e-09 3.009 0.2865 6251.98 0.4967 0.7079 0.1247 0.4506 0.3502 0.1004 0.9012
 3650  11000  4120 6.8e-08 8.2e-09 3.014 0.4566 6290.62 0.1184 0.7040 0.4216 0.4509 0.3504 0.1005 0.9018
15400  46400  2740 5.1e-08 3.9e-09 3.013 0.4329 6288.52 0.0849 0.7104 0.4822 0.1438 0.4523 0.3084 0.9045
14000  42200  2490 5.6e-08 4.3e-09 3.014 0.4762 6286.60 0.0544 0.7087 0.2450 0.1438 0.4523 0.3085 0.9046
 6040  18200  1070 1.3e-07 1.0e-08 3.013 0.4415 6284.93 0.0278 0.7073 0.0483 0.1433 0.4524 0.3091 0.9049
60400 182000 10700 1.3e-08 1.0e-09 3.013 0.4415 6284.93 0.0278 0.7073 0.0483 0.1433 0.4524 0.3091 0.9049
 6650  20000  1150 1.2e-07 9.1e-09 3.008 0.2506 6309.93 0.4257 0.7077 0.0983 0.1405 0.4533 0.3127 0.9065
 9760  29400  1690 8.2e-08 6.2e-09 3.012 0.4098 6291.88 0.1383 0.7085 0.2145 0.1407 0.4533 0.3126 0.9066
34000 102000  5760 2.4e-08 1.8e-09 3.000 0.0000 6276.92 0.0997 0.7078 0.1180 0.1382 0.4539 0.3157 0.9079
22599  68100  3830 3.6e-08 2.7e-09 3.013 0.4425 6280.50 0.0428 0.7065 0.0718 0.1383 0.4541 0.3159 0.9082
 7500  22599  8660 3.3e-08 3.9e-09 3.013 0.4444 6300.83 0.2808 0.7095 0.3561 0.4550 0.3490 0.1060 0.9100
22599  68100 26100 1.1e-08 1.3e-09 3.013 0.4425 6272.46 0.1706 0.7095 0.3549 0.4550 0.3490 0.1060 0.9100
 2260   6810  2610 1.1e-07 1.3e-08 3.013 0.4425 6272.46 0.1706 0.7095 0.3549 0.4550 0.3490 0.1060 0.9100
56200 169000  9090 1.5e-08 1.1e-09 3.007 0.2372 6281.06 0.0339 0.7046 0.3442 0.1331 0.4558 0.3227 0.9115
47500 143000  7500 1.8e-08 1.3e-09 3.011 0.3509 6312.38 0.4647 0.7041 0.4137 0.1305 0.4567 0.3262 0.9133
 6810  20500  1050 1.3e-07 9.1e-09 3.010 0.3426 6266.66 0.2630 0.7096 0.3729 0.1279 0.4575 0.3296 0.9150
56200 169000  8450 1.6e-08 1.1e-09 3.007 0.2372 6307.71 0.3904 0.7105 0.4892 0.1253 0.4583 0.3331 0.9167
23200  69800  3480 3.9e-08 2.7e-09 3.009 0.2874 6252.71 0.4850 0.7073 0.0377 0.1250 0.4584 0.3334 0.9169
 6810  20500  8060 3.6e-08 4.3e-09 3.010 0.3426 6252.74 0.4846 0.7041 0.4090 0.4593 0.3474 0.1119 0.9186
39200 118000  5620 2.4e-08 1.6e-09 3.010 0.3401 6266.50 0.2655 0.7097 0.3792 0.1204 0.4600 0.3396 0.9200
63400 191000  8870 1.5e-08 1.0e-09 3.013 0.4206 6273.01 0.1620 0.7035 0.4915 0.1179 0.4609 0.3429 0.9217
 2210   6650  2670 1.1e-07 1.3e-08 3.009 0.3017 6275.75 0.1184 0.7063 0.0994 0.4630 0.3461 0.1168 0.9259
22100  66500 26700 1.1e-08 1.3e-09 3.009 0.3017 6275.75 0.1184 0.7063 0.0994 0.4630 0.3461 0.1168 0.9259
42200 127000  5490 2.4e-08 1.5e-09 3.009 0.3160 6311.91 0.4571 0.7088 0.2553 0.1109 0.4632 0.3523 0.9263
63400 191000  8250 1.6e-08 1.0e-09 3.013 0.4206 6297.91 0.2343 0.7085 0.2154 0.1109 0.4632 0.3523 0.9264
 5620  16900  6810 4.3e-08 5.1e-09 3.007 0.2372 6294.54 0.1807 0.7049 0.2902 0.4634 0.3459 0.1175 0.9269
40199 121000  4870 2.7e-08 1.6e-09 3.010 0.3317 6267.60 0.2481 0.7096 0.3680 0.1043 0.4653 0.3610 0.9307
49900 150000  5900 2.2e-08 1.3e-09 3.006 0.2004 6285.58 0.0381 0.7048 0.3096 0.1021 0.4660 0.3639 0.9320
19600  59000  2320 5.6e-08 3.3e-09 3.010 0.3401 6287.51 0.0689 0.7056 0.1970 0.1022 0.4660 0.3638 0.9321
17800  53600  2100 6.2e-08 3.6e-09 3.011 0.3745 6309.00 0.4109 0.7099 0.4061 0.1020 0.4661 0.3642 0.9323
13700  41200  1580 8.2e-08 4.7e-09 3.007 0.2433 6313.45 0.4817 0.7090 0.2845 0.1000 0.4668 0.3668 0.9335
 8660  26100  1000 1.3e-07 7.5e-09 3.014 0.4619 6268.70 0.2306 0.7063 0.0977 0.1001 0.4668 0.3667 0.9336
10500  31600  1180 1.1e-07 6.2e-09 3.010 0.3175 6270.80 0.1970 0.7080 0.1349 0.0977 0.4675 0.3698 0.9350
32400  97600  3570 3.6e-08 2.0e-09 3.012 0.4115 6313.57 0.4835 0.7076 0.0812 0.0961 0.4681 0.3720 0.9362
49900 150000  5360 2.4e-08 1.3e-09 3.006 0.2004 6313.86 0.4881 0.7105 0.4960 0.0940 0.4687 0.3748 0.9375
24300  73200  2490 5.1e-08 2.7e-09 3.012 0.4115 6312.16 0.4611 0.7053 0.2383 0.0902 0.4701 0.3799 0.9401
14000  42200  1400 9.1e-08 4.7e-09 3.014 0.4762 6290.86 0.1222 0.7073 0.0375 0.0882 0.4707 0.3825 0.9414
44200 133000  4220 3.0e-08 1.5e-09 3.009 0.3017 6292.33 0.1456 0.7067 0.0407 0.0847 0.4719 0.3872 0.9437
66500 200000  6340 2.0e-08 1.0e-09 3.008 0.2506 6279.50 0.0586 0.7065 0.0722 0.0846 0.4719 0.3873 0.9437
60400 182000  5760 2.2e-08 1.1e-09 3.013 0.4415 6278.35 0.0770 0.7059 0.1513 0.0846 0.4719 0.3873 0.9438
22100  66500  2050 6.2e-08 3.0e-09 3.009 0.3017 6279.94 0.0516 0.7104 0.4790 0.0826 0.4726 0.3900 0.9451
51100 154000  4640 2.7e-08 1.3e-09 3.014 0.4566 6314.33 0.4956 0.7057 0.1817 0.0810 0.4731 0.3921 0.9462
60400 182000  5230 2.4e-08 1.1e-09 3.013 0.4415 6308.29 0.3995 0.7099 0.4161 0.0776 0.4742 0.3966 0.9485
56200 169000  4640 2.7e-08 1.2e-09 3.007 0.2372 6273.72 0.1506 0.7081 0.1515 0.0744 0.4753 0.4009 0.9505
42200 127000  3480 3.6e-08 1.6e-09 3.009 0.3160 6267.54 0.2490 0.7075 0.0666 0.0743 0.4753 0.4010 0.9506
24900  75000  2000 6.2e-08 2.7e-09 3.012 0.4016 6310.69 0.4377 0.7069 0.0147 0.0726 0.4759 0.4034 0.9518
17400  52300  1370 9.1e-08 3.9e-09 3.006 0.1916 6270.99 0.1941 0.7076 0.0791 0.0713 0.4763 0.4050 0.9526
15800  47500  1240 1.0e-07 4.3e-09 3.006 0.2110 6283.59 0.0065 0.7054 0.2275 0.0711 0.4764 0.4053 0.9527
30900  93100  2430 5.1e-08 2.2e-09 3.013 0.4315 6276.62 0.1045 0.7041 0.4086 0.0712 0.4764 0.4052 0.9527
22599  68100  1650 7.5e-08 3.0e-09 3.013 0.4425 6289.17 0.0952 0.7093 0.3271 0.0665 0.4779 0.4114 0.9558
30900  93100  2210 5.6e-08 2.2e-09 3.013 0.4315 6280.93 0.0360 0.7097 0.3847 0.0653 0.4783 0.4130 0.9567
38300 114999  2610 4.7e-08 1.8e-09 3.003 0.0870 6275.46 0.1229 0.7057 0.1834 0.0625 0.4792 0.4167 0.9584
25500  76800  1620 7.5e-08 2.7e-09 3.012 0.3922 6300.13 0.2697 0.7057 0.1777 0.0586 0.4806 0.4220 0.9611
69800 210000  4019 3.0e-08 1.0e-09 3.009 0.2865 6283.72 0.0085 0.7038 0.4514 0.0535 0.4822 0.4287 0.9644
23200  69800  1330 9.1e-08 3.0e-09 3.009 0.2874 6281.53 0.0264 0.7063 0.0984 0.0533 0.4823 0.4290 0.9646
17800  53600  1000 1.2e-07 3.9e-09 3.011 0.3745 6313.86 0.4881 0.7049 0.2957 0.0523 0.4826 0.4304 0.9653
43200 130000  2370 5.1e-08 1.6e-09 3.009 0.3086 6306.80 0.3758 0.7104 0.4781 0.0511 0.4830 0.4319 0.9660
63400 191000  3320 3.6e-08 1.1e-09 3.013 0.4206 6310.54 0.4354 0.7051 0.2745 0.0490 0.4838 0.4348 0.9675
69800 210000  3650 3.3e-08 1.0e-09 3.009 0.2865 6287.63 0.0707 0.7080 0.1436 0.0489 0.4838 0.4349 0.9675
19600  59000  1000 1.2e-07 3.6e-09 3.010 0.3401 6263.72 0.3098 0.7038 0.4514 0.0478 0.4841 0.4364 0.9683
69800 210000  3320 3.6e-08 1.0e-09 3.009 0.2865 6312.04 0.4593 0.7095 0.3472 0.0447 0.4851 0.4404 0.9703
39200 118000  1740 6.8e-08 1.8e-09 3.010 0.3401 6308.03 0.3954 0.7047 0.3260 0.0419 0.4861 0.4442 0.9722
44200 133000  1910 6.2e-08 1.6e-09 3.009 0.3017 6299.44 0.2586 0.7054 0.2307 0.0409 0.4864 0.4456 0.9728
39200 118000  1580 7.5e-08 1.8e-09 3.010 0.3401 6303.24 0.3191 0.7089 0.2645 0.0383 0.4873 0.4490 0.9746
47500 143000  1910 6.2e-08 1.5e-09 3.011 0.3509 6274.42 0.1394 0.7052 0.2490 0.0382 0.4873 0.4492 0.9746
32400  97600  1300 9.1e-08 2.2e-09 3.012 0.4115 6274.39 0.1400 0.7046 0.3389 0.0381 0.4874 0.4493 0.9747
44200 133000  1740 6.8e-08 1.6e-09 3.009 0.3017 6302.10 0.3010 0.7085 0.2127 0.0374 0.4876 0.4502 0.9751
71500 215000  2740 4.3e-08 1.0e-09 3.007 0.2331 6283.06 0.0020 0.7043 0.3813 0.0365 0.4879 0.4514 0.9757
54900 165000  2100 5.6e-08 1.3e-09 3.005 0.1821 6296.26 0.2081 0.7045 0.3501 0.0364 0.4879 0.4515 0.9758
47500 143000  1740 6.8e-08 1.5e-09 3.011 0.3509 6277.07 0.0973 0.7081 0.1621 0.0349 0.4884 0.4535 0.9768
35700 107000  1300 9.1e-08 2.0e-09 2.997 0.0934 6284.93 0.0278 0.7091 0.2931 0.0347 0.4884 0.4537 0.9768
32400  97600  1180 1.0e-07 2.2e-09 3.012 0.4115 6282.36 0.0132 0.7070 0.0029 0.0347 0.4885 0.4537 0.9769
71500 215000  2490 4.7e-08 1.0e-09 3.007 0.2331 6304.23 0.3350 0.7051 0.2737 0.0333 0.4889 0.4557 0.9779
54900 165000  1910 6.2e-08 1.3e-09 3.005 0.1821 6274.42 0.1395 0.7101 0.4375 0.0332 0.4889 0.4557 0.9779
32400  97600  1070 1.1e-07 2.2e-09 3.012 0.4115 6290.36 0.1142 0.7092 0.3084 0.0316 0.4895 0.4579 0.9790
40199 121000  1050 1.1e-07 1.8e-09 3.010 0.3317 6304.93 0.3460 0.7037 0.4623 0.0252 0.4916 0.4664 0.9832
56200 169000  1270 9.1e-08 1.3e-09 3.007 0.2372 6275.70 0.1191 0.7041 0.4128 0.0219 0.4927 0.4708 0.9854
 9530  28700 13700 2.4e-08 2.7e-09 3.012 0.3847 6264.86 0.2917 0.7067 0.0466 0.4932 0.3362 0.1569 0.9864
60400 182000  1270 9.1e-08 1.2e-09 3.013 0.4415 6294.35 0.1777 0.7076 0.0880 0.0205 0.4932 0.4728 0.9864
56200 169000  1150 1.0e-07 1.3e-09 3.007 0.2372 6291.24 0.1281 0.7043 0.3836 0.0199 0.4934 0.4735 0.9868
66500 200000  1270 9.1e-08 1.1e-09 3.008 0.2506 6271.42 0.1872 0.7068 0.0280 0.0186 0.4938 0.4752 0.9876
60400 182000  1150 1.0e-07 1.2e-09 3.013 0.4415 6309.93 0.4257 0.7077 0.0985 0.0186 0.4938 0.4753 0.9877
56200 169000  1050 1.1e-07 1.3e-09 3.007 0.2372 6277.60 0.0888 0.7075 0.0637 0.0182 0.4939 0.4757 0.9879
66500 200000  1150 1.0e-07 1.1e-09 3.008 0.2506 6286.95 0.0599 0.7067 0.0405 0.0169 0.4944 0.4775 0.9888
66500 200000  1050 1.1e-07 1.1e-09 3.008 0.2506 6273.32 0.1570 0.7096 0.3732 0.0155 0.4949 0.4794 0.9897
 1130   3400  1690 2.0e-07 2.2e-08 3.009 0.2950 6289.13 0.0947 0.7103 0.4696 0.4998 0.3339 0.1658 0.9995
11299  34000 16900 2.0e-08 2.2e-09 3.009 0.2950 6289.13 0.0947 0.7103 0.4696 0.4998 0.3339 0.1658 0.9995
 4019  12100  6040 5.6e-08 6.2e-09 3.010 0.3317 6277.68 0.0877 0.7074 0.0559 0.5006 0.3337 0.1669 1.0011
24900  75000 37400 9.1e-09 1.0e-09 3.012 0.4016 6259.11 0.3831 0.7099 0.4124 0.5006 0.3338 0.1667 1.0011
 2490   7500  3740 9.1e-08 1.0e-08 3.012 0.4016 6259.11 0.3831 0.7099 0.4124 0.5006 0.3338 0.1667 1.0011
 3320  10000  4990 6.8e-08 7.5e-09 3.012 0.4016 6268.51 0.2335 0.7085 0.2172 0.5007 0.3338 0.1669 1.0013
 2740   8250  4120 8.2e-08 9.1e-09 3.011 0.3650 6279.09 0.0652 0.7064 0.0859 0.5007 0.3337 0.1670 1.0014
 4420  13300  6650 5.1e-08 5.6e-09 3.009 0.3017 6291.94 0.1393 0.7102 0.4572 0.5008 0.3336 0.1672 1.0015
 3650  11000  5490 6.2e-08 6.8e-09 3.014 0.4566 6267.11 0.2559 0.7103 0.4679 0.5008 0.3338 0.1670 1.0017
 2260   6810  3400 1.0e-07 1.1e-08 3.013 0.4425 6266.00 0.2735 0.7093 0.3217 0.5009 0.3338 0.1671 1.0017
22599  68100 34000 1.0e-08 1.1e-09 3.013 0.4425 6266.00 0.2735 0.7093 0.3217 0.5009 0.3338 0.1671 1.0017
 7500  22599 11299 3.0e-08 3.3e-09 3.013 0.4444 6289.11 0.0942 0.7091 0.2961 0.5011 0.3337 0.1674 1.0022
 6810  20500 10500 3.3e-08 3.6e-09 3.010 0.3426 6253.46 0.4731 0.7095 0.3526 0.5049 0.3323 0.1726 1.0097
 3570  10700  5620 6.2e-08 6.8e-09 2.997 0.0934 6280.43 0.0438 0.7060 0.1354 0.5079 0.3305 0.1774 1.0158
 2210   6650  3480 1.0e-07 1.1e-08 3.009 0.3017 6267.63 0.2476 0.7041 0.4168 0.5083 0.3311 0.1772 1.0166
22100  66500 34800 1.0e-08 1.1e-09 3.009 0.3017 6267.63 0.2476 0.7041 0.4168 0.5083 0.3311 0.1772 1.0166
 4320  13000  6810 5.1e-08 5.6e-09 3.009 0.3086 6288.91 0.0912 0.7045 0.3496 0.5085 0.3310 0.1774 1.0169
 2430   7320  3830 9.1e-08 1.0e-08 3.012 0.4115 6260.72 0.3575 0.7040 0.4196 0.5085 0.3312 0.1774 1.0171
24300  73200 38300 9.1e-09 1.0e-09 3.012 0.4115 6260.72 0.3575 0.7040 0.4196 0.5085 0.3312 0.1774 1.0171
 5110  15400  8060 4.3e-08 4.7e-09 3.014 0.4566 6313.77 0.4868 0.7057 0.1802 0.5087 0.3312 0.1775 1.0174
 1000   3010  1580 2.2e-07 2.4e-08 3.010 0.3333 6310.61 0.4365 0.7065 0.0733 0.5089 0.3309 0.1779 1.0177
10000  30099 15800 2.2e-08 2.4e-09 3.010 0.3333 6310.61 0.4365 0.7065 0.0733 0.5089 0.3309 0.1779 1.0177
 6650  20000 10700 3.3e-08 3.6e-09 3.008 0.2506 6271.69 0.1829 0.7044 0.3729 0.5118 0.3298 0.1819 1.0235
 3090   9310  5900 6.8e-08 6.8e-09 3.013 0.4315 6274.66 0.1357 0.7105 0.4956 0.5389 0.3211 0.2178 1.0778
 8660  26100 16900 2.4e-08 2.4e-09 3.014 0.4619 6273.72 0.1506 0.7070 0.0047 0.5422 0.3201 0.2221 1.0845
 4420  13300  8660 4.7e-08 4.7e-09 3.009 0.3017 6269.28 0.2214 0.7068 0.0327 0.5427 0.3197 0.2230 1.0854
 1870   5620  3740 1.1e-07 1.1e-08 3.005 0.1783 6270.52 0.2016 0.7038 0.4555 0.5456 0.3184 0.2272 1.0913
18700  56200 37400 1.1e-08 1.1e-09 3.005 0.1783 6270.52 0.2016 0.7038 0.4555 0.5456 0.3184 0.2272 1.0913
 1580   4750  3160 1.3e-07 1.3e-08 3.006 0.2110 6278.65 0.0722 0.7037 0.4658 0.5457 0.3185 0.2272 1.0913
15800  47500 31600 1.3e-08 1.3e-09 3.006 0.2110 6278.65 0.0722 0.7037 0.4658 0.5457 0.3185 0.2272 1.0913
 1370   4120  2740 1.5e-07 1.5e-08 3.007 0.2433 6274.58 0.1369 0.7036 0.4761 0.5457 0.3185 0.2272 1.0914
13700  41200 27400 1.5e-08 1.5e-09 3.007 0.2433 6274.58 0.1369 0.7036 0.4761 0.5457 0.3185 0.2272 1.0914
 5110  15400 11800 3.9e-08 3.6e-09 3.014 0.4566 6260.59 0.3597 0.7069 0.0072 0.5666 0.3120 0.2546 1.1332
 2430   7320  5620 8.2e-08 7.5e-09 3.012 0.4115 6286.93 0.0596 0.7100 0.4279 0.5668 0.3118 0.2549 1.1336
 5490  16500 13000 3.6e-08 3.3e-09 3.005 0.1821 6264.38 0.2993 0.7055 0.2190 0.5698 0.3104 0.2594 1.1396
 8870  26700 21500 2.2e-08 2.0e-09 3.010 0.3382 6292.15 0.1426 0.7037 0.4622 0.5731 0.3096 0.2635 1.1463
 9760  29400 23700 2.0e-08 1.8e-09 3.012 0.4098 6313.95 0.4896 0.7068 0.0304 0.5735 0.3096 0.2638 1.1469
 1470   4420  4019 1.3e-07 1.1e-08 3.007 0.2268 6273.47 0.1546 0.7059 0.1502 0.5888 0.3042 0.2847 1.1777
14700  44200 40199 1.3e-08 1.1e-09 3.007 0.2268 6273.47 0.1546 0.7059 0.1502 0.5888 0.3042 0.2847 1.1777
 3400  10200  9530 5.6e-08 4.7e-09 3.000 0.0000 6251.88 0.4983 0.7043 0.3803 0.5917 0.3028 0.2889 1.1834
 1580   4750  4420 1.2e-07 1.0e-08 3.006 0.2110 6300.16 0.2701 0.7068 0.0326 0.5917 0.3032 0.2885 1.1834
15800  47500 44200 1.2e-08 1.0e-09 3.006 0.2110 6300.16 0.2701 0.7068 0.0326 0.5917 0.3032 0.2885 1.1834
 1740   5230  4870 1.1e-07 9.1e-09 3.006 0.1916 6262.79 0.3247 0.7093 0.3245 0.5917 0.3031 0.2886 1.1834
 2320   6980  6490 8.2e-08 6.8e-09 3.009 0.2874 6292.00 0.1403 0.7083 0.1896 0.5918 0.3033 0.2885 1.1835
 1050   3160  2940 1.8e-07 1.5e-08 3.010 0.3175 6313.95 0.4896 0.7064 0.0908 0.5919 0.3033 0.2886 1.1838
10500  31600 29400 1.8e-08 1.5e-09 3.010 0.3175 6313.95 0.4896 0.7064 0.0908 0.5919 0.3033 0.2886 1.1838
 4420  13300 12400 4.3e-08 3.6e-09 3.009 0.3017 6258.61 0.3911 0.7044 0.3734 0.5921 0.3032 0.2889 1.1843
 3090   9310  8660 6.2e-08 5.1e-09 3.013 0.4315 6263.04 0.3206 0.7105 0.4986 0.5922 0.3035 0.2887 1.1843
 2550   7680  7150 7.5e-08 6.2e-09 3.012 0.3922 6258.06 0.3998 0.7088 0.2481 0.5922 0.3034 0.2888 1.1844
 7870  23700 22100 2.4e-08 2.0e-09 3.011 0.3812 6306.80 0.3758 0.7056 0.1937 0.5924 0.3033 0.2891 1.1847
 6980  21000 20500 2.7e-08 2.2e-09 3.009 0.2865 6253.46 0.4731 0.7045 0.3544 0.5978 0.3013 0.2965 1.1956
 9310  28000 28000 2.0e-08 1.6e-09 3.008 0.2506 6313.45 0.4817 0.7060 0.1351 0.6006 0.3003 0.3003 1.2012
 4750  14300 15000 3.9e-08 3.0e-09 3.011 0.3509 6312.38 0.4647 0.7092 0.3125 0.6065 0.2985 0.3079 1.2130
 3320  10000 10500 5.6e-08 4.3e-09 3.012 0.4016 6288.94 0.0915 0.7094 0.3405 0.6067 0.2986 0.3082 1.2135
 4320  13000 13700 4.3e-08 3.3e-09 3.009 0.3086 6290.38 0.1145 0.7092 0.3109 0.6069 0.2983 0.3086 1.2139
 3920  11800 12700 4.7e-08 3.6e-09 3.010 0.3401 6279.96 0.0513 0.7051 0.2648 0.6094 0.2975 0.3119 1.2189
 2260   6810  7320 8.2e-08 6.2e-09 3.013 0.4425 6281.57 0.0257 0.7096 0.3613 0.6095 0.2977 0.3118 1.2191
 1540   4640  4990 1.2e-07 9.1e-09 3.013 0.4329 6288.97 0.0920 0.7084 0.2033 0.6096 0.2977 0.3119 1.2191
 5110  15400 16900 3.6e-08 2.7e-09 3.014 0.4566 6287.29 0.0653 0.7078 0.1073 0.6119 0.2970 0.3150 1.2239
 2430   7320  8250 7.5e-08 5.6e-09 3.012 0.4115 6279.03 0.0661 0.7036 0.4862 0.6148 0.2959 0.3189 1.2296
 6040  18200 21000 3.0e-08 2.2e-09 3.013 0.4415 6296.26 0.2081 0.7045 0.3577 0.6175 0.2951 0.3224 1.2350
 1000   3010  3570 1.8e-07 1.3e-08 3.010 0.3333 6306.30 0.3679 0.7040 0.4201 0.6202 0.2939 0.3263 1.2404
10000  30099 35700 1.8e-08 1.3e-09 3.010 0.3333 6306.30 0.3679 0.7040 0.4201 0.6202 0.2939 0.3263 1.2404
 3570  10700 13000 5.1e-08 3.6e-09 2.997 0.0934 6257.49 0.4090 0.7084 0.1989 0.6218 0.2925 0.3292 1.2436
 1400   4220  5110 1.3e-07 9.1e-09 3.014 0.4762 6260.96 0.3537 0.7096 0.3740 0.6228 0.2934 0.3294 1.2455
